DATE,A191RI1Q225SBEA_NBD19470401
2013-04-01,15.51724
2013-07-01,34.48276
2013-10-01,36.20690
2014-01-01,25.86207
2014-04-01,39.65517
2014-07-01,29.31034
2014-10-01,6.89655
2015-01-01,-3.44828
2015-04-01,39.65517
2015-07-01,18.96552
2015-10-01,0.00000
2016-01-01,-5.17241
2016-04-01,46.55172
2016-07-01,17.24138
2016-10-01,32.75862
2017-01-01,36.20690
2017-04-01,18.96552
2017-07-01,36.20690
2017-10-01,43.10345
2018-01-01,44.82759
2018-04-01,50.00000
2018-07-01,29.31034
2018-10-01,29.31034
2019-01-01,24.13793
2019-04-01,34.48276
2019-07-01,20.68966
2019-10-01,22.41379
2020-01-01,32.75862
2020-04-01,-27.58621
2020-07-01,62.06897
2020-10-01,48.27586
2021-01-01,91.37931
2021-04-01,106.89655
2021-07-01,103.44828
2021-10-01,122.41379
2022-01-01,144.82759
2022-04-01,156.89655
2022-07-01,77.58621
2022-10-01,67.24138
2023-01-01,67.24138
2023-04-01,29.31034
2023-07-01,56.89655
2023-10-01,29.31034
2024-01-01,53.44828
